event_id,event_categories,event_name,event_slug,post_content,event_start_date,event_end_date,event_all_day,featured_image,location_name,location_slug,location_address,location_town,location_state,location_country,location_postcode,location_region,location_latitude,location_longitude
2409,Community,"Maker Faire Bloomsburg - 2023",Maker_Faire_Bloomsburg_-_2023,"For more information, check out the <a target=""_blank"" href=""https://bloomsburg.makerfaire.com/"">Maker Faire Bloomsburg - 2023 website.</a>","04/22/2023 12:00:00 am","04/22/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/09/MF_Bloomsburg_2023.png,"Maker Faire Bloomsburg",Maker_Faire_Bloomsburg_2_W_7th_St_Bloomsburg_Pennsylvania_US_17815_North_America,"2 W 7th St",Bloomsburg,Pennsylvania,US,17815,"North America",40.997822,-76.454582
2428,Community,"Maker Faire Asheville - 2023",Maker_Faire_Asheville_-_2023,"For more information, check out the <a target=""_blank"" href=""https://asheville.makerfaire.com/"">Maker Faire Asheville - 2023 website.</a>","04/22/2023 12:00:00 am","04/22/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/11/MF_Asheville_2023.png,"Maker Faire Asheville",Maker_Faire_Asheville_Asheville_North_Carolina_US_28804_North_America,,Asheville,"North Carolina",US,28804,"North America",35.618561,-82.568359
2485,Community,"Maker Faire Plzen - 2023",Maker_Faire_Plzen_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfaire.cz"">Maker Faire Plzen - 2023 website.</a>","04/22/2023 12:00:00 am","04/22/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/03/MF_Plzen_2023.png,"Maker Faire Plzen",Maker_Faire_Plzen_Plzen_CZ_0,,Plzen,,CZ,,0,49.738319,13.379408
2493,Community,"Maker Faire Downtown Columbia - 2023",Maker_Faire_Downtown_Columbia_-_2023,"For more information, check out the <a target=""_blank"" href=""https://downtowncolumbia.makerfaire.com/"">Maker Faire Downtown Columbia - 2023 website.</a>","04/23/2023 12:00:00 am","04/23/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/04/MF_DowntownColumia_2023.jpeg,"Maker Faire Downtown Columbia",Maker_Faire_Downtown_Columbia_10431_Little_Patuxent_Parkway_Columbia_Maryland_US_21044_1,"10431 Little Patuxent Parkway",Columbia,Maryland,US,21044,1,39.2113953,-76.8599413
2416,Community,"Maker Faire Gent - 2023",Maker_Faire_Gent_-_2023,"For more information, check out the <a target=""_blank"" href=""https://www.makerfairegent.be/"">Maker Faire Gent - 2023 website.</a>","04/28/2023 12:00:00 am","04/28/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/10/MF_Gent_2023.png,"Maker Faire Gent",Maker_Faire_Gent_Gent_BE_Europe,,Gent,,BE,,Europe,51.058502,3.696824
2458,Featured,"Maker Faire Kyoto - 2023",Maker_Faire_Kyoto_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makezine.jp/event/mfk2023/"">Maker Faire Kyoto - 2023 website.</a>","04/29/2023 12:00:00 am","04/30/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/02/MF_Kyoto_2023.png,"Maker Faire Kyoto",Maker_Faire_Kyoto_Kyoto_KyKizugawashi_/_SeikaChooto_JP_631-0805_Asia,,Kyoto,"KyKizugawashi / SeikaChooto",JP,631-0805,Asia,34.756889,135.735901
2461,Community,"Maker Faire Palm Bay - 2023",Maker_Faire_Palm_Bay_-_2023,"For more information, check out the <a target=""_blank"" href=""http://palmbay.makerfaire.com/"">Maker Faire Palm Bay - 2023 website.</a>","04/29/2023 12:00:00 am","04/29/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/12/MF_PALMBAY_2023.png,"Maker Faire Palm Bay",Maker_Faire_Palm_Bay_Palm_Bay_Florida_US_32905_North_America,,"Palm Bay",Florida,US,32905,"North America",28.036026,-80.603371
2451,Community,"Maker Faire Cranberry - 2023",Maker_Faire_Cranberry_-_2023,"For more information, check out the <a target=""_blank"" href=""https://cranberrytownship.makerfaire.com/"">Maker Faire Cranberry - 2023 website.</a>","05/06/2023 12:00:00 am","05/06/2023 12:00:00 am",1,,"Maker Faire Cranberry",Maker_Faire_Cranberry_Cranberry_Township_Pennsylvania_US_16066_North_America,,"Cranberry Township",Pennsylvania,US,16066,"North America",40.697964,-80.110184
2486,Community,"Maker Faire Ostrava - 2023",Maker_Faire_Ostrava_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfaire.cz"">Maker Faire Ostrava - 2023 website.</a>","05/06/2023 12:00:00 am","05/06/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/03/MF_Ostrava_2023.png,"Maker Faire Ostrava",Maker_Faire_Ostrava_Ostrava_CZ_Europe,,Ostrava,,CZ,,Europe,49.738319,13.379408
2436,Featured,"Maker Faire Minden-Lubbecke - 2023",Maker_Faire_Minden-Lubbecke_-_2023,"For more information, check out the <a target=""_blank"" href=""https://en.maker-faire.de/"">Maker Faire Minden-Lubbecke - 2023 website.</a>","05/11/2023 12:00:00 am","05/13/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/12/Minden-Lubekke_2023_RMT.png,"Maker Faire Minden-Lubbecke",Maker_Faire_Minden-Lubbecke_Miden_DE_32472_Europe,,Miden,,DE,32472,Europe,52.295383,8.889701
